GEO_ID,NAME,Total Unemployed,Total Population,S2301_C04_001E
0500000US35001,Bernalillo,30747,549046,5.6
0500000US35003,Catron,168,3173,5.3
0500000US35005,Chaves,2589,49789,5.2
0500000US35006,Cibola,2477,21351,11.6
0500000US35007,Colfax,481,10239,4.7
0500000US35009,Curry,2988,37825,7.9
0500000US35011,De Baca,134,1370,9.8
0500000US35013,Doña Ana,13132,170550,7.7
0500000US35015,Eddy,1910,44414,4.3
0500000US35017,Grant,1812,22656,8
0500000US35019,Guadalupe,243,3624,6.7
0500000US35021,Harding,12,377,3.3
0500000US35023,Hidalgo,247,3382,7.3
0500000US35025,Lea,3554,51515,6.9
0500000US35027,Lincoln,849,16641,5.1
0500000US35028,Los Alamos,532,15210,3.5
0500000US35029,Luna,1744,18362,9.5
0500000US35031,McKinley,6662,53723,12.4
0500000US35033,Mora,364,3918,9.3
0500000US35035,Otero,4838,53170,9.1
0500000US35037,Quay,163,6516,2.5
0500000US35039,Rio Arriba,2182,31167,7
0500000US35041,Roosevelt,1266,14722,8.6
0500000US35043,Sandoval,7617,115416,6.6
0500000US35045,San Juan,7900,96338,8.2
0500000US35047,San Miguel,1332,23369,5.7
0500000US35049,Santa Fe,6212,126771,4.9
0500000US35051,Sierra,738,9457,7.8
0500000US35053,Socorro,621,13221,4.7
0500000US35055,Taos,2271,27693,8.2
0500000US35057,Torrance,1160,12746,9.1
0500000US35059,Union,113,3313,3.4
0500000US35061,Valencia,4694,60965,7.7