Location ID,Location,Value
FL-001,Alachua,10.41
FL-003,Baker,9.7
FL-005,Bay,7.93
FL-007,Bradford,10.3
FL-009,Brevard,4.91
FL-011,Broward,4.11
FL-013,Calhoun,7.15
FL-015,Charlotte,8.15
FL-017,Citrus,7.12
FL-019,Clay,8.71
FL-021,Collier,6.91
FL-023,Columbia,9.71
FL-027,DeSoto,7.88
FL-029,Dixie,7.71
FL-031,Duval,8.03
FL-033,Escambia,10.6
FL-035,Flagler,7.15
FL-037,Franklin,8.83
FL-039,Gadsden,6.17
FL-041,Gilchrist,8.4
FL-043,Glades,5.63
FL-045,Gulf,8.7
FL-047,Hamilton,8.26
FL-049,Hardee,9.33
FL-051,Hendry,6.38
FL-053,Hernando,7.38
FL-055,Highlands,7.13
FL-057,Hillsborough,7.56
FL-059,Holmes,7.61
FL-061,Indian River,3.12
FL-063,Jackson,6.08
FL-065,Jefferson,6.47
FL-067,Lafayette,7.74
FL-069,Lake,7.34
FL-071,Lee,8.81
FL-073,Leon,6.76
FL-075,Levy,6.97
FL-077,Liberty,7.61
FL-079,Madison,6.54
FL-081,Manatee,8
FL-083,Marion,7.62
FL-085,Martin,3.11
FL-086,Miami-Dade,4.21
FL-087,Monroe,4.22
FL-089,Nassau,8.61
FL-091,Okaloosa,8.01
FL-093,Okeechobee,3.71
FL-095,Orange,7.46
FL-097,Osceola,7.25
FL-099,Palm Beach,3.6
FL-101,Pasco,7.32
FL-103,Pinellas,7.17
FL-105,Polk,10.42
FL-107,Putnam,8.24
FL-109,St. Johns,6.97
FL-111,St. Lucie,3.33
FL-113,Santa Rosa,9.2
FL-115,Sarasota,8.47
FL-117,Seminole,7.63
FL-119,Sumter,7.43
FL-121,Suwannee,8.3
FL-123,Taylor,7.14
FL-125,Union,10.35
FL-127,Volusia,7.37
FL-129,Wakulla,7.65
FL-131,Walton,7.86
FL-133,Washington,7.5